"PVWatts: Hourly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","14","14","0","107","8","10.8","107","8.541","843.171","783.061"
"1","14","15","0","47","7.8","10.8","47","7.576","371.924","321.541"
"1","14","16","0","17","8","7.2","17","7.184","134.755","88.9"
"1","14","17","0","1","8","4.1","1","6.427","7.953","0"
"1","14","18","0","0","7","4.1","0","7","0","0"
"1","14","19","0","0","8","10.8","0","8","0","0"
"1","14","20","0","0","9","10.8","0","9","0","0"
"1","14","21","0","0","9","6.2","0","9","0","0"
"1","14","22","0","0","9","5.1","0","9","0","0"
"1","14","23","0","0","8.9","5.1","0","8.9","0","0"
"1","15","0","0","0","8.8","5.1","0","8.8","0","0"
"1","15","1","0","0","9.2","4.8","0","9.2","0","0"
"1","15","2","0","0","9.7","4.4","0","9.7","0","0"
"1","15","3","0","0","10.1","4.1","0","10.1","0","0"
"1","15","4","0","0","10","5.6","0","10","0","0"
"1","15","5","0","0","10","7.2","0","10","0","0"
"1","15","6","0","0","10.9","8.2","0","10.9","0","0"
"1","15","7","0","0","11","8.7","0","11","0","0"
"1","15","8","0","12","11","8.2","12","10.158","93.894","48.795"
"1","15","9","154","69","11.7","9.8","96.508","12.067","672.877","616.394"
"1","15","10","391","102","13","11.8","218.951","14.791","1517.313","1441.6"
"1","15","11","501","122","13","10.8","313.74","16.133","2228.885","2134.549"
"1","15","12","484","154","13.6","9.8","358.96","17.606","2582.245","2477.837"
"1","15","13","513","130","13.8","10.8","344.712","17.403","2466.038","2365.002"
"1","15","14","383","133","14","11.8","274.047","16.566","1954.804","1867.903"
"1","15","15","175","118","14.2","13.9","166.328","15.343","1196.142","1128.111"
"1","15","16","42","59","14","10.8","65.255","14.075","481.554","428.995"
"1","15","17","0","5","13","8.2","5","12.128","38.784","0"
"1","15","18","0","0","12.6","8.2","0","12.6","0","0"
"1","15","19","0","0","12","8.2","0","12","0","0"
"1","15","20","0","0","12","13.8","0","12","0","0"
"1","15","21","0","0","12.5","12.9","0","12.5","0","0"
"1","15","22","0","0","12.6","11.9","0","12.6","0","0"
"1","15","23","0","0","12.7","10.8","0","12.7","0","0"
"1","16","0","0","0","12.8","9.8","0","12.8","0","0"
"1","16","1","0","0","12.6","8.6","0","12.6","0","0"
"1","16","2","0","0","12.4","7.4","0","12.4","0","0"
"1","16","3","0","0","12.2","6.2","0","12.2","0","0"
"1","16","4","0","0","12","6.1","0","12","0","0"
"1","16","5","0","0","12","11.8","0","12","0","0"
"1","16","6","0","0","11.5","8.2","0","11.5","0","0"
"1","16","7","0","0","12","9.7","0","12","0","0"
"1","16","8","0","12","12","8.7","12","11.202","93.463","48.372"
"1","16","9","158","70","13","7.2","98.504","13.48","682.105","625.429"
"1","16","10","398","102","14","10.8","221.896","15.947","1529.871","1453.849"
"1","16","11","508","121","15","10.8","316.684","18.19","2229.505","2135.151"
"1","16","12","485","155","15.2","9.8","361.745","19.261","2584.853","2480.369"
"1","16","13","480","153","16","9.7","355.376","20.046","2527","2424.203"
"1","16","14","489","114","16","11.8","295.684","18.841","2063.853","1974.033"
"1","16","15","348","95","15","10.8","192.282","16.713","1312.728","1241.961"
"1","16","16","83","58","14","9.7","70.641","14.174","502.859","449.871"
"1","16","17","0","5","13","9.7","5","12.222","38.768","0"
"1","16","18","0","0","12.3","8.2","0","12.3","0","0"
"1","16","19","0","0","10","4.1","0","10","0","0"
"1","16","20","0","0","11","4.1","0","11","0","0"
"1","16","21","0","0","9.9","1","0","9.9","0","0"
"1","16","22","0","0","9.7","2.7","0","9.7","0","0"
